question,context,answers,answer_sentence,topic,reference,id
"regarding maxillary impacted canines, what is the gender difference in prevalence?","patients with impacted maxillary canines and significant resorption of the adjacent lateral incisors present the dental team with significant treatment challenges. to address these challenges effectively, it is helpful to review the literature on the etiology and incidence of both canine impaction and root resorption, especially resorption associated with impaction. treatment of a case with bilateral maxillary canine impaction and associated lateral incisor root resorption is reported. maxillary canine impaction occurs in approximately 1% to 2% of the population. females are affected approximately twice as often as males. approximately 80% to 90% of impacted canines are palatal and 10% to 20% are labial. the maxillary canine has the longest and most tortuous path of eruption, from its site of formation lateral to the piriform fossa to its final position in the arch. endocrine deficiencies, febrile diseases, and irradiation can cause general retardations in eruption, and thus can affect canine eruption. etiologic agents that may influence canines more specifically include lack of space, early loss or prolonged retention of the primary canine, abnormal position of the tooth bud, ankylosis, cystic or neoplastic formation, root dilaceration, and the iatrogenic repositioning of the adjacent lateral incisor into the canines path of eruption. palatal impactions have been associated with the absence of roots or variations in the root size of the associated maxillary lateral incisor. a genetic origin for the palatally displaced canine has also been proposed. dental crowding is more often associated with labial impactions than with palatal impactions. root resorption has been found to occur in 80% to 100% of adults, even those who have not received orthodontic treatment. orthodontic treatment is one well-documented factor in root resorption, and resorption during treatment is more likely if the teeth already show some evidence of resorption. fortunately, the resorption that is related to orthodontic treatment almost never progresses after the orthodontic forces are discontinued.","{'answer_start': [570], 'text': ['females are affected approximately twice as often as males']}",,pathology,"{'authors': ['W. Craig Shellhart, DDS, MS', 'Samuel Jasper, DDS, MS', 'Herbert Abrams, DDS, MS', 'Trent Wilson, DMD'], 'doi': 'https://doi.org/10.1043/0003-3219(1998)068<0187:CRMOSI>2.3.CO;2', 'meta': 'Angle Orthod (1998) 68 (2): 187–192.', 'title': 'Case Report: Management of significant incisor root resorption associated with maxillary canine impaction'}",de17fbbe-1ef9-415a-ac4a-089421bb3323
what is the most common findings in patients with class ii malocclusion?,"class ii malocclusions are characterized by an incorrect relationship between the maxillary and mandibular arches due to skeletal or dental problems or a combination of both. mandibular retrusion is its most common characteristic, with 80% of the white population displaying this trait as opposed to only 20% expressing excessive maxillary development. treatment techniques like upper premolar extractions and distalization focus on the maxillary arch in treating class ii malocclusions, whereas functional appliances are specifically used to reposition the mandible and/or the mandibular arch in an anterior direction in order to correct the same problem. the latter also includes fixed functional appliances (ffas), which are welcome aids especially when patient compliance is declining. because their primary effects are on the teeth and the adjoining dentoalveolar structures, they can be used in young adults with minimal growth. extraction of either two maxillary premolars or two maxillary and two mandibular premolars also helps in compensating a class ii malocclusion. extraction of only two maxillary premolars and anterior teeth retraction are generally indicated when there is no crowding or cephalometric discrepancy in the mandibular arch however, retracting anterior teeth in a full-cusp class ii malocclusion can be an arduous task because anchorage control becomes critical. with the introduction of skeletal anchorage, it has become possible to obtain absolute anchorage and close the extraction spaces completely by anterior tooth retraction. considering that the treatment protocols discussed above have the same treatment objectives, ie, compensation of the exaggerated overjet either by retraction of maxillary teeth or proclination/mesial movement of mandibular teeth or by a combination thereof, it would be interesting to compare the treatment differences between these techniques, as they might have a bearing on the overall treatment plan for class ii patients. the purpose of this prospective study was to examine the dentoskeletal and soft tissue treatment effects of maxillary anterior tooth retraction with mini-implant anchorage in class ii division i patients undergoing extraction of only the maxillary first premolars in comparison to similar patients undergoing treatment with a nonextraction approach using an ffa.","{'answer_start': [175], 'text': ['mandibular retrusion']}",,clinical,"{'authors': ['Madhur Upadhyay', 'Sumit Yadav', 'K. Nagaraj', 'Flavio Uribe', 'Ravindra Nanda'], 'doi': 'https://doi.org/10.2319/042811-302.1', 'meta': 'Angle Orthod (2012) 82 (2): 294–303.', 'title': 'Mini-implants vs fixed functional appliances for treatment of young adult Class II female patients: A prospective clinical trial'}",98f7110d-0d0b-44cd-8aba-f642f0f8c922
"in class iii patient with temporomandibular joint symptoms, what is the recommended therapeutic approach?","for adult patients with class iii malocclusion, the options to treat using orthodontics alone or in combination with orthognathic surgery have been discussed for many years. previous studies indicated that the wits appraisal, gonial angle, existing temporomandibular disorders, and amount of chin deviation, especially for patients with facial asymmetry, were indicators than can help determine the treatment plan. additionally, it is necessary to consider the patient's willingness to undergo specific procedures, the patient's expectations, and facial esthetics. the initial skeletal parameters of this patient, such as lower wits appraisal ( 18.9 mm), greater gonial angle (124.8), maxilla/mandible transverse discrepancy, and mandibular asymmetry (4 mm) indicated that surgical intervention was theoretically an appropriate treatment plan. however, the patient refused the surgical approach because of the associated surgical risks. therefore, the patient was informed that mandibular prognathism and chin deviation would not be corrected by the orthodontic treatment chosen. before camouflage treatment was decided upon for the patient, she was also examined to determine if she exhibited any temporomandibular joint symptoms. skeletal asymmetry develops suboptimal occlusion, which can cause temporomandibular disorder (tmd) and encourage disc displacement. accordingly, patients with asymmetric mandibular prognathism have a higher prevalence of tmd symptoms, such as joint pain, joint clicking, and headache, compared with patients with only a protruded mandibular jaw. thus, orthognathic surgery is strongly recommended for patients with preexisting tmd. although tmd may not be cured completely, good improvement of tmd symptoms after surgery has been reported. considering that the patient did not show any signs of tmd, and the function of her posterior occlusion was acceptable, camouflage treatment with preservation of the original compensated posterior occlusion was planned. occlusion with mandibular asymmetry tends to display different inclinations between deviated and nondeviated sides. the conventional preadjusted bracket can correct the compensated dentition, which results in a successful outcome for the surgical approach. however, in the case of camouflage treatment, decompensation could be undesirable, especially if the patient shows favorable posterior occlusion despite the mandibular asymmetry, as in the case presented here. in this condition, to preserve the compensated dentition more efficiently throughout treatment, a virtual setup technique and cad/cam customized bracket system were applied.","{'answer_start': [1584], 'text': ['orthognathic surgery is strongly recommended for patients with preexisting tmd']}",,clinical,"{'authors': ['Ha Na Sha', 'Sun Young Lim', 'Sun Mi Kwon', 'Jung-Yul Cha'], 'doi': 'https://doi.org/10.2319/102318-768.1', 'meta': 'Angle Orthod (2020) 90 (4): 607–618.', 'title': 'Camouflage treatment for skeletal Class III patient with facial asymmetry using customized bracket based on CAD/CAM virtual orthodontic system:A case report'}",eaa568ec-67c0-422a-b843-21239364fb15
"regarding subjects with down syndrome (ds), what is the cause of the low sucking pressure and difficulty in sucking and swallowing during chilhood and adolescence?","because the present study analyzed the influence of breastfeeding, bottle feeding, and nonnutritive oral habits on the prevalence of malocclusion, the authors opted to adjust the logistic regression model using the following confounding and risk factors: age, mouth posture, and mother's schooling. mouth posture was measured because many individuals with ds have the habit of maintaining a mouth open position. according to a number of authors, underdevelopment of the maxilla, orbicular muscles of the lips, and facial muscles results in insufficient lip seal and can lead to mouth breathing. hypotonia of the facial and lip muscles, associated with a hypotonic, protruded tongue, causes many children/adolescents with ds to experience difficulties in sucking and swallowing. according to mizuno and ueda, sucking difficulties in infants with ds may result from the low sucking pressure and short duration, rather than a lack of will to suck. it is caused not only by hypotonicity of the perioral muscles, lips, and masticatory muscles, but also by a deficiency in smooth peristaltic-like tongue movements in the early neonatal period. sucking pressure, which is negative intraoral pressure, is generated by the lowering of the jaw and posterior depression of the tongue, which occurs during the tongue movement sequence. however, these characteristics do not impede such individuals from being able to breastfeed or having nonnutritive sucking habits. in a study carried out in japan involving children with ds and those with normal development, mizuno and ueda found significant development in the sucking behavior of the individuals with ds over time, but the sucking capacity of these infants was lower than that of normal infants.","{'answer_start': [970], 'text': ['hypotonicity of the perioral muscles, lips, and masticatory muscles, but also by a deficiency in smooth peristaltic-like tongue movements in the early neonatal period']}",,pathology,"{'authors': ['Ana Cristina Oliveira', 'Isabela Almeida Pordeus', 'Cintia Silva Torres', 'Milene Torres Martins', 'Saul Martins Paiva'], 'doi': 'https://doi.org/10.2319/072709-421.1', 'meta': 'Angle Orthod (2010) 80 (4): 748–753.', 'title': 'Feeding and nonnutritive sucking habits and prevalence of open bite and crossbite in children/adolescents with Down syndrome'}",2aaa5bbc-534a-4bc3-97fe-9123cc4fb223
"when comparing one and two-phase orthodontic treatment, what are the disadvantages of two phase orthodontic treatments?","crowding, arch constriction, and posterior crossbite were the main features of the class i malocclusion group. these features showed significant improvement following treatment with space supervision protocol and expansion appliances. kutin and hawes and clifford agreed that maxillary expansion should be initiated as early as possible to avoid any detrimental effects to the facial skeleton. early correction of class i malocclusion supports that early treatment of crowded arches and maxillary transverse discrepancy can have a beneficial effect on arch length preservation and craniofacial growth by the elimination of the functional shift. the class ii malocclusion group was characterized by skeletal and dental discrepancies and an increased overjet (>5 mm). the class ii malocclusion group comprised 43.9% of the sample (table 3). this could imply a stronger desire for early correction in the class ii malocclusion. in the present study, 64% of mean reduction of the weighted par score was seen from t0 to t1 in the class ii group. von bremen and pancherz reported a similar percentage of correction (60%) after early treatment with functional appliances in the class ii division i malocclusion evaluated by the uk par weighting system. functional jaw orthopedics with functional removable appliances is generally an accepted treatment modality in orthodontics. the results of this study addressed the changes in par scores using this treatment. although some disadvantages of the two-phase approach have been critically pointed out (increased numbers of visits, costs, and length of treatment), 15% of the patients who had the early treatment did not need more complex treatment in adolescence. vasilakou et al. reported that the class ii subjects had the least improvement during phase i treatment, which is inconsistent with the results of the present study. in their study, the total improvement of the american board of orthodontics discrepancy index scores was diminished because of the increase in incisor mandibular plane angle (impa), which occurred after early class ii correction. although the evaluation of the lower incisor position was not part of this study, siara-olds et al. found that the flaring of lower incisors caused by class ii tooth-borne functional appliances can be solved during the second phase of orthodontic treatment.","{'answer_start': [1543], 'text': ['increased numbers of visits, costs, and length of treatment']}",,clinical,"{'authors': ['Valmy Pangrazio-Kulbersh', 'He-Kyong Kang', 'Archana Dhawan', 'Riyad Al-Qawasmi', 'Rafael Rocha Pacheco'], 'doi': 'https://doi.org/10.2319/091417-618.1', 'meta': 'Angle Orthod (2018) 88 (3): 253–258.', 'title': 'Comparison of early treatment outcomes rendered in three different types of malocclusions'}",e9aee15d-26ff-4c12-9d4d-bc9686279441
"regarding the width of the alveolar ridge, what happens after the extraction of maxillary anterior teeth?","in a study of 20 patients with congenitally missing lateral incisors, kokich observed the amount of change that occurred across the edentulous ridge by evaluating dental casts and tomograms. the amount of bone loss was less than 1% from the end of treatment up to 4 years after treatment. these minor resorptive changes of the ridge were ascribed to this procedure of implant site development by the orthodontic separation of two teeth. this result differs from that of the present investigation, but it has to be considered that in our study the part of the ridge for the prospective implant area was calculated with an assumed surface of 6 to 12 mm. there are no data in the study about the detailed measurement procedure and the recommended bone volume. previous studies show that the alveolar ridge narrows by 34% if maxillary anterior teeth are extracted. another study of congenitally missing mandibular second premolars demonstrated that the alveolar ridge width decreased approximately 25% over a 3-year period after extraction of the primary molar. ridge resorption is reduced over the next 4 years, so that there is an additional 4% loss of ridge width. these findings permit extraction of the primary molar with little concern about the patient's age or the timing of implant placement.28 it is difficult to compare these findings with those of the present study because we measured a surface and not a distance in the buccolingual direction. in the present study, only the upper and not the lower jaw or the premolar region was investigated. it is difficult to compare different jaw regions and conditions of bone and blood supply.","{'answer_start': [784], 'text': ['the alveolar ridge narrows by 34%']}",,clinical,"{'authors': ['Anika Beyer', 'Eve Tausche', 'Klaus Boening', 'Winfried Harzer'], 'doi': 'https://doi.org/10.2319/0003-3219(2007)077[0404:OSOIPW]2.0.CO;2', 'meta': 'Angle Orthod (2007) 77 (3): 404–409.', 'title': 'Orthodontic Space Opening in Patients with Congenitally Missing Lateral Incisors: Timing of Orthodontic Treatment and Implant Insertion'}",e8876c85-8055-4d4a-b919-671072716796
"according to haas, why do class ii division ii patient have a retrusive mandible?","the objective of early treatment was not necessarily to eliminate the need for phase ii but to minimize the problems that occurred in the permanent dentition. the results of the phase i treatment turned out to be so positive that after one year not only was the transverse dimension properly corrected, but the mandible also was carried forward to its normal position, resulting in a spontaneous correction of the class ii malocclusion (figure 2g,i). no subsequent comprehensive orthodontic treatment was implemented in either the maxillary or mandibular arch. the only treatment provided for this patient was rapid palatal expansion. during the interim period, the contained jaw was able to move forward because the environment was set up for this to happen. haas noted that virtually all class ii, division 2 and most class ii, division 1 patients present mandibular functional retrusion. in the class ii, division 2 group, the retrusion was due to lingual inclination of upper central incisors. in the class ii, division 1 group, the retrusion was due to constriction of the maxillary dental arch, especially between the canines. haas emphasized that in such cases, it is important to expand the maxillary arch to obtain a permanent orthopedic effect on the maxilla by releasing the mandible to move anteriorly. class ii malocclusion is related to a deficiency in the maxillary arch width. wendling reported that rapid palatal expansion may favor a spontaneous correction of some class ii malocclusions. this procedure induces forward positioning of the mandible during the retention period (6 to 12 months after expansion) in moderate class ii cases. wendling reported that by expanding the maxillary arch, it is possible to release the mandible to move forward, thus creating an excellent condition for the mandible to grow to its full extent, helping in class ii correction. in this case report, a spontaneous correction of class ii occurred after rapid palatal expansion after the expander appliance had been stabilized. during retention, without any loss of the es, the anteroposterior discrepancy on the right side moved from a class ii to a class i molar relationship. after rapid palatal expansion, an initial downward and forward movement of the maxilla, together with a downward and backward rotation of the mandible, occur which, in fact, have a negative effect on class ii correction. during the retention period, a slight forward positioning of the mandible is observed. the expansion in the transverse dimension seems to lead to positive anteroposterior mandibular changes and to the mandible being carried forward to its normal position. all the goals of treatment in this case were achieved. the transverse, anteroposterior, and vertical dimensions appear to be properly corrected and stable, whereas posterior interdigitation, overjet, and overbite are excellent. dentofacial esthetics were markedly improved (figure 3). molar relationship at the right side achieved class i simply by a proper mandibular positioning.","{'answer_start': [926], 'text': ['the retrusion was due to lingual inclination of upper central incisors']}",,clinical,"{'authors': ['Roberto M. A. Lima Filho, DDS, MS', 'Anna Carolina Lima, DDS, MS', 'Antonio Carlos de Oliveira Ruellas, DDS, PhD'], 'doi': 'https://doi.org/10.1043/0003-3219(2003)073<0745:SCOCIM>2.0.CO;2', 'meta': 'Angle Orthod (2003) 73 (6): 745–752.', 'title': 'Spontaneous Correction of Class II Malocclusion After Rapid Palatal Expansion'}",0571b826-af78-4651-9f41-d5a260a19cd7
"regarding cephalometric analysis, how is the soft tissue pogonion (po ) landmark defined?","the conventional anthropometric references have been detailed elsewhere and are illustrated in figures 1 and 2. for the sake of brevity only those landmarks and planes referring to soft tissue or special points will be described. point alpha - analogous to down s point a (subspinale), but modified to conform to the variant anatomy found in cleft lip. the deepest midline point on the anterior surface of the maxilla between anterior nasal spine and the alveolar crest (prosthion). in the cleft population this area of the maxilla is often straight or convex due to the anomalous position of the incisors or the displacement of the premaxillary segment. when the alveolus was straight or convex, point alpha was located as the most anterior point between anterior nasal spine and the alveolar crest. this point may be regarded as giving support to the upper lip. r - rhinion; the most anterior in- ferior point on the contour of the nasal bones in the midsagittal plane. n - soft tissue nasion: the point of intersection of the extended cranial base line, basion-nasion (ba-n), and the soft tissue profile. po - soft tissue pogonion: the most anterior point on the contour of the soft tissue chin. alpha - soft tissue point alpha: the soft tissue point overlying point alpha, the point of intersection of a line parallel to the palatal plane, from point alpha, and the soft tissue profile. b - soft tissue point b: the soft tissue point overlying point b. the point of intersection of a line parallel to the palatal plane, from point b, and the soft tissue profile. prn - pronasale: the most anterior point on the contour of the nose. sn - subnasale: the deepest point of concavity at the junction of the lower border of the columella with the philtrum of the lip. h - the point of intersection of a perpendicular, registered on subnasale (sn), and the soft tissue facial plane (n/-po ). sd - the point of intersection of a perpendicular, registered on pronasale (prn), and the soft tissue facial plan (n -po ). hd - the point of intersection of a perpendicular, registered on pronasale (prn), and the skeletal facial plane (n-po). point u - the most inferior point on the upper lip relative to the palatal plan (pp). point l - the most superior point on the lower lip relative to the mandibular plan (mp).","{'answer_start': [1135], 'text': ['the most anterior point on the contour of the soft tissue chin']}",,anatomy,"{'authors': ['C. SADOWSKY, B.D.S.', 'H. ADUSS, D.D.S.', 'S. PRUZANSKY, D.D.S.'], 'doi': 'https://doi.org/10.1043/0003-3219(1973)043<0233:TSTPIU>2.0.CO;2', 'meta': 'Angle Orthod (1973) 43 (3): 233–246.', 'title': 'The Soft Tissue Profile in Unilateral Clefts'}",2a2cd06e-ee68-4e85-991e-7c9961e284d4
"regarding growing subjects, how does juvenile rheumatoid arthritis affect craniofacial growth?","in vitro animal and human fetal studies have shown little intrinsic growth potential of secondary condylar cartilage compared with primary cartilage from epiphyseal plates. petrovic and stutzmann argued that the functional environment and action of the lateral pterygoid muscle are important in the development of condylar cartilage and, hence, the mandible. independently, this led copray et al, to conclude that local environmental factors are of importance in considering condylar growth. dolwick defined internal derangement of the temporomandibular joint (tmj) as the abnormal relationship of the articular disc to the condyle, fossa, and articular eminence, with the disc usually displaced in an anteromedial direction. since disc displacement can be seen as a loss of harmony between functional tmj components, it may be considered a local environmental disturbance with the potential to affect condylar development. juvenile rheumatoid arthritis has been shown to have a profound effect on craniofacial growth, presumably by inflammatory destruction of the condylar cartilage. altered condylar morphology or loss of normal shape, as seen on plain film radiography, has been associated with altered craniofacial morphology, although no clear cause-and-effect mechanism was postulated. patients with disc displacement without reduction show osseous changes of the condylar head, but these changes are found less frequently in patients with disc displacement with reduction. a strong relationship between disc perforation and degenerative joint disease of the temporomandibular joints has been shown, whereas the relationship between internal derangement and degenerative joint disease is less evident. internal derangement represents a less violent change in the local environment. nevertheless, disc displacement pulls the retrodiscal tissue forward between the condyle and articular eminence, with potentially harmful effects. compression of this normally vascular tissue may occur, altering oxygenation, nutrition, and lubrication of condylar tissue through synovial fluid changes. these localized changes may be adequate to alter the dynamic growth within this region, resulting in a loss of facial growth equilibrium expressed in the various adaptive growth sites. the aim of this study was to determine whether temporomandibular disc displacement is associated with specific craniofacial characteristics.","{'answer_start': [1030], 'text': ['by inflammatory destruction of the condylar cartilage']}",,pathology,"{'authors': ['B. Nebbe, BDS, MDent, FFD(SA)Orthod', 'P. W. Major, DDS, MSc, MRCD', 'N. G. Prasad, PhD', 'M. Grace, PhD', 'L. S. Kamelchuk, DDS, MSc'], 'doi': 'https://doi.org/10.1043/0003-3219(1997)067<0407:TIDAAC>2.3.CO;2', 'meta': 'Angle Orthod (1997) 67 (6): 407–414.', 'title': 'TMJ internal derangement and adolescent craniofacial morphology: A pilot study'}",1253d065-97b9-4186-826b-338cd691c445
"in adult patients with a transverse discrepancy, what are the indications for surgically assisted rapid maxillary expansion (sarme)?","maxillary osteotomy allows expansion of the skeletal base of the maxilla. sa-rme is a true orthopedic expansion, starting at the apex of the palatal vault with bone apposition at the suture. in adult patients, the haas palatal expander also produces an orthopedic expansion, generally starting at the apical third of the lateral walls of the palate (cases 1 and 5) or midway on the lateral walls (cases 2, 3, and 4). this correction produces an increase in the volume of the palatal vault. the transverse width of the skeletal base of the maxilla may not be expanded, but transalveolar expansion can be an acceptable alternative. betts and coworkers have presented a graphic analysis of the posteroanterior cephalogram to define a maxillomandibular width differential. they state that a differential greater than 5 mm from the norm may indicate a need for surgically assisted expansion. in the present paper, the maxillary transarch widths, measured from study models, were used for comparison with the control and also to measure the expansion achieved. unfortunately pa cephalograms were not taken at the time of treatment.","{'answer_start': [785], 'text': ['a differential greater than 5 mm from the norm']}",,clinical,"{'authors': ['Chester S. Handelman, DMD'], 'doi': 'https://doi.org/10.1043/0003-3219(1997)067<0291:NRMAEI>2.3.CO;2', 'meta': 'Angle Orthod (1997) 67 (4): 291–308.', 'title': 'Nonsurgical rapid maxillary alveolar expansion in adults: A clinical evaluation'}",e18e70d5-61a4-4659-afe1-470d27c4eef7
"regarding craniofacial growth anomalies, what are the causes of facial asymmetries?","severe facial asymmetry can arise from several sources, including genetic imperfections and environmental influences. hemifacial microsomia, a genetic defect, inhibits mandibular growth on the affected side. the degree of facial asymmetry depends on the degree of hypoplasia or agenesis of the tissues involved. some clefts of the lip and/or palate also result in facial asymmetry, with associated collapse of the maxillary dental arch. however, the most frequent cause of severe mandibular asymmetry may be functional ankylosis secondary to mandibular trauma at an early age. restricted mandibular movement disturbs the normal development of the maxilla and mandible in the anteroposterior and vertical in growing patients, deformities including mandibular deviation and canted occlusal plan often develop progressively until growth stops. for patients who have suffered condylar fractures, early orthopedic treatment is indicated to encourage subsequent condylar and soft tissue growth. a hybrid functional appliance is known to be effective in preventing the worsening of deformities and, in some cases, correcting them. the hybrid appliance is designed to encourage growth on the affected side. treatment success, however, depends on the severity of the damaged tissue. if condylar translation is restricted, surgical release of the ankylosis or the scar is necessary prior to the orthopedic treatment, otherwise the condyle will not respond to if the facial asymmetry develops progressively during orthopedic treatment, surgical reconstruction of the temporomandibular joint with a costochondral graft or the remaining ramus tissue might be considered. if the patient has finished growing, skeletal deformities are corrected by a combined surgical-orthodontic treatment or camouflage orthodontic treatment.","{'answer_start': [66], 'text': ['genetic imperfections and environmental influences']}",,pathology,"{'authors': ['Takashi Yamashiro, DDS, PhD', 'Takumi Okada, DDS', 'Kenji Takada, DDS, PhD'], 'doi': 'https://doi.org/10.1043/0003-3219(1998)068<0085:CRFAAE>2.3.CO;2', 'meta': 'Angle Orthod (1998) 68 (1): 85–90.', 'title': 'Case Report: Facial asymmetry and early condylar fracture'}",a35c20d8-dec9-4fa3-98ca-5d199090ee7f
what is the effect of microetching on enamel?,"assessment of the effectiveness or safety of rotary instruments is limited to inspecting the surface under sem to reveal the topography and morphology of the enamel surface. in this study, sem was used to give a better understanding of what happens to enamel with the different methods of resin removal tested. nonetheless, sem lacks a quantitative scale, cannot be used for the comparative assessment, and provides only subjective information. the earliest studies relating the effects of debonding on the enamel surface were conducted by newman and facq. brown and way suggested that there was less enamel loss in the clinic than in vitro because the destructive removal is more extensive in vitro. in this study, the tcb was very efficient in residual resin cleanup. sem photographs clearly demonstrate that the enamel scarring was inevitable with both low- and high-speed tcb (figures 1 and 2). using a tcb with high speed seems to be a very efficient way to clean the surface and the least time consuming (table 4), but it was the most hazardous procedure to the enamel (figure 2). when tcb are used at high speed, they can cause damage to enamel because they are harder than the enamel. van waes et al and zachrisson and rtun concluded that a tcb at low speed produced the finest scratch pattern with the least enamel loss of 7.4 m. retief and denys recommended the use of tcb at high speed with adequate air cooling, whereas rouleau et al and campbell2 suggested water spray instead of air cooling. in this study, air cooling was preferred to water cooling to assist in the observation of the resin remnants. remnant removal with sof-lex aluminum oxide finishing discs showed a progressive decrease in surface irregularities but was the most time-consuming method (table 4) and left too much remnant on the enamel surface (figure 3). the result was consistent with other authors. campbell found that discs and rubber wheels are effective, but these may be cumbersome for clinicians. microetching results in an irreversible loss of enamel by removal of both organic and inorganic components of the enamel matrix. sem photographs showed different surface patterns at different magnifications. the enamel seemed smooth at 300 , but at 1500 magnification revealed deep pits (figure 4), which may be the possible cause of the lower rebond strength found in this group (table 3). this finding is consistent with reports of smooth surfaces after microetching at 500 magnification. throughout the first debonding, the brackets of the experimental groups were debonded by pliers to mimic in vivo debonding conditions and to ensure that the surfaces and their sem evaluations would represent clinically debonded surfaces. however, in the control group, the sbs for the initial debonding was measured using the universal test machine to compare the data obtained from the experimental groups for the second debonding.","{'answer_start': [2017], 'text': ['irreversible loss of enamel by removal of both organic and inorganic components of the enamel matrix']}",,materials,"{'authors': ['Neslihan Eminkahyagil', 'Ayca Arman', 'Alev Çetinşahin', 'Erdem Karabulut'], 'doi': 'https://doi.org/10.1043/0003-3219(2006)076[0314:EORMOE]2.0.CO;2', 'meta': 'Angle Orthod (2006) 76 (2): 314–321.', 'title': 'Effect of Resin-removal Methods on Enamel and Shear Bond Strength of Rebonded Brackets'}",0cf2edb6-da9c-4e00-8ae2-0c267c88b14b
"in patients with periodontal bone loss, how is the center of resistance (cres) affected?","contrary to the above study,18 our results suggest that lingual force application may produce much more complicated and unpredictable tooth movement in terms of intrusion and extrusion. this conflict can be explained because the authors did not refer to different incisor inclinations or to a different bracket base thickness. where bone level is reduced, the center of resistance (cres) moves apically, and the distance between the point of force application (pf) and cres increases, resulting in higher moments. marginal bone loss increases the moment-to-force ratio (m/f) required for translation at 65% of bone loss (m/f increases by 0.65 mm for every 1 mm of bone loss). application of an intrusion force in cases of reduced bone level with a labial bracket creates counterclockwise moments that are larger than in normal cases because of the greater distance between the pf and the cres (figure 6). therefore, the crown moves more labially. with a lingual bracket, different root moments are created depending on the initial tooth position, as described previously. the transitional point at which pure intrusion movement is created (without any labial or lingual movement of the crown) is smaller than in normal cases and depends on the bone level as well as on tooth inclination and bracket width. moments created with a lingual bracket as compared with a labial bracket are always smaller, with less side effects of proclination or retroclination of the crown. when the bone level is reduced and the incisors are proclined, the counterclockwise moments developed with intrusive forces are smaller than those developed with the labial bracket. there is also less labial crown movement (figure 7).","{'answer_start': [356], 'text': ['the center of resistance (cres) moves apically']}",,biomechanics,"{'authors': ['Silvia Geron, DMD, MSc', 'Rafi Romano, DMD, MSc', 'Tamar Brosh, PhD'], 'doi': 'https://doi.org/10.1043/0003-3219(2004)074<0195:VFILAL>2.0.CO;2', 'meta': 'Angle Orthod (2004) 74 (2): 195–201.', 'title': 'Vertical Forces in Labial and Lingual Orthodontics Applied on Maxillary Incisors—A Theoretical Approach'}",5e5400ff-dcd7-4be8-9e09-7ed08312459d
"regarding cephalometric analysis, what is the wits appraisal?","an alternative measurement based on a linear evaluation of the distance between points a and b projected onto the occlusal plane is termed the wits analysis. the wits value, or ao-bo, is the linear measurement between the perpendiculars drawn from point a and point b to the functional occlusal plane. while the wits analysis has been shown to be less affected by variations in craniofacial physiognomy, variation of the occlusal plane may affect the wits appraisal. to reduce the depenclence of sagittal measurements on the functional occlusal plane (fop), chang advocated a linear measurement of the distance between points a and b projected onto the frankfort horizontal plane (figure 1). the points of origin of the perpendiculars on the frankfort horizontal plane projected to points a and b were labeled af and bf, respectively, and the measurement between the points along fh was called the af-bf distance. since the introduction of this measurement, only two authors have reported norms based on differing populations (table 1). because a large proportion of orthodontic patients in the united states are caucasian children and adults, the need exists to report af-bf standards for these groups. the purpose of this study was threefold: to estimate the af-bf values for a caucasian american population, to evaluate the relative stability of these values during growth, and to compare this indicator with anb values.","{'answer_start': [187], 'text': ['the linear measurement between the perpendiculars drawn from point a and point b to the functional occlusal plane']}",,clinical,"{'authors': ['David L. Judy, BA, DDS, MS', 'Allan G. Farman, PhD(Odont), EdS, MBA', 'Anibal M. Silveira, DDS', 'John M. Yancey, PhD', 'Fred J. Regennitter, DDS, MS', 'William C. Scarfe, BDS, MS'], 'doi': 'https://doi.org/10.1043/0003-3219(1995)065<0359:LPOAVI>2.0.CO;2', 'meta': 'Angle Orthod (1995) 65 (5): 359–366.', 'title': 'Longitudinal predictability of AF-BF value in Angle Class I patients'}",dfd2fbaa-5d89-4488-b5f3-2b18e54b4a11
"in an ideal orthodontic thermoelastic nitinol wire, what is the desired transition temperature range (ttr)?","the unique memory property of thermodynamic wire is only partially understood, but it is believed to result from the alloys inherent capability to alter its atomic bonding forces as a function of this shape recovery phenomenon is the result of a transition in crystal structure (atomic and electron shifts) that occurs by deformation and cooling. upon reversing the transition by heating, the structure reverts to its higher temperature form, accompanied by abrupt changes in properties. amazingly, this is a reversible process. an ideal thermodynamic nitinol wire would have the following characteristics: 1) dead soft at room temperature so that it can be tied easily, 2) instantaneously activated by the heat of the mouth, 3) able to apply clinically acceptable orthodontic forces that would result in tooth movement, 4) once fully activated, would not be affected further by increased heat in the mouth, and 5) a fairly narrow ttr, it should be completely active at mouth temperatures yet completely passive at lower temperatures. this property would allow the clinician sufficient time to tie the archwire into the bracket slots before the heat of the mouth activates the wire.","{'answer_start': [915], 'text': ['a fairly narrow ttr']}",,materials,"{'authors': ['Samir E. Bishara, DDS, BDS, D. Ortho, MS', 'John M. Winterbottom, BS, MS', 'Abdel-Hak A. Sulieman, BDS, MS, PhD', 'Kwan Rim, B. Eng, PhD', 'Jane R. Jakobsen, BA, MS'], 'doi': 'https://doi.org/10.1043/0003-3219(1995)065<0117:COTTPO>2.0.CO;2', 'meta': 'Angle Orthod (1995) 65 (2): 117–122.', 'title': 'Comparisons of the thermodynamic properties of three nickel-titanium orthodontic archwires'}",a4077409-bf18-4506-9673-58e0da1e4559
