ĐỀ MỤC,CHỦ ĐỀ CON,MÃ SỐ,CÂU HỎI,CÂU TRẢ LỜI,keywords
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q011,Khi nào bệnh nha chu được coi là liên quan bệnh toàn thân?,"Khi có bằng chứng liên hệ trực tiếp tới bệnh hệ thống như đái tháo đường, bệnh bạch cầu, hội chứng Down, loãng xương.",bệnh nha chu; bệnh toàn thân; liên quan bệnh; đái tháo đường; bệnh tim mạch; viêm khớp; thai kỳ; hô hấp
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q012,Một số bệnh toàn thân ảnh hưởng tới mô nha chu là gì?,"Hội chứng Papillon-Lefèvre, giảm bám dính bạch cầu, rối loạn miễn dịch bẩm sinh.",Bệnh toàn thân; Ảnh hưởng nha chu; Yếu tố hệ thống nha chu; Hội chứng Papillon-Lefèvre; Giảm bám dính bạch cầu; Rối loạn miễn dịch; Suy giảm miễn dịch bẩm sinh; Bệnh hệ thống nha chu
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q013,Áp xe nha chu có biểu hiện lâm sàng thế nào?,"Sưng, đau, đỏ, có thể có lỗ dò mủ; cần điều trị sớm để tránh lan rộng nhiễm trùng.",Áp xe nha chu; biểu hiện áp xe; triệu chứng áp xe; dấu hiệu lâm sàng; áp xe lợi; sưng nướu; đau nướu; lỗ dò mủ
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q014,Sang thương nội nha – nha chu là gì?,"Tổn thương nha chu có nguồn gốc từ bệnh nội nha hoặc ngược lại, có thể phối hợp cả hai.",sang thương nội nha; sang thương nha chu; tổn thương kết hợp; tủy hoại tử; túi nha chu; đường dò; chẩn đoán khó
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q015,Khiếm khuyết niêm mạc nướu quanh răng gồm những gì?,"Bao gồm tụt nướu, mỏng nướu, và các bất thường hình thái nướu (gingival phenotype).",Khiếm khuyết nướu; tụt nướu; mỏng nướu; hình thái nướu; niêm mạc nướu; biotype nướu; mô nướu; thương tổn nướu
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q016,Yếu tố liên quan răng và phục hình có thể ảnh hưởng nha chu là gì?,"Mọc răng bất thường, sang chấn khớp cắn, phục hình gây lưu mảng bám hoặc chèn ép mô mềm.",Nha chu; yếu tố nha chu; phục hình nha chu; sang chấn khớp cắn; mọc răng bất thường; lưu mảng bám; chèn ép mô
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q017,Mô quanh implant lành mạnh có đặc điểm gì?,"Không viêm, không chảy máu khi thăm khám, không mất mô cứng hoặc mô mềm quanh implant.",mô quanh implant; implant khỏe mạnh; nướu quanh implant; không viêm; không chảy máu; săn chắc; bám dính implant
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q018,Viêm niêm mạc quanh implant là gì?,"Viêm giới hạn ở mô mềm quanh implant, không mất xương ổ implant.",Viêm quanh implant; Viêm niêm mạc implant; Bệnh lý quanh implant; Mô mềm quanh implant; Không mất xương; Tổn thương quanh implant; Biến chứng implant; Chẩn đoán quanh implant
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q019,Viêm nha chu quanh implant (Peri-implantitis) là gì?,"Viêm và mất mô cứng quanh implant, có tiêu xương trên X-quang và chảy máu/ mủ khi thăm khám.",Peri-implantitis; viêm nha chu quanh implant; viêm quanh implant; tiêu xương quanh implant; biến chứng implant; mất mô cứng implant; chảy máu quanh implant
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q020,Các tình trạng mất mô quanh implant gồm những gì?,"Mất mô cứng (xương) và/hoặc mô mềm, ảnh hưởng thẩm mỹ và chức năng.",viêm quanh implant; viêm niêm mạc quanh implant; mất xương quanh implant; bệnh quanh implant; viêm quanh trụ implant
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q021,Vì sao phân loại AAP 2017 quan trọng trong thực hành RHM?,"Giúp chẩn đoán chính xác, tiên lượng và lập kế hoạch điều trị phù hợp cho từng mức độ bệnh.",Phân loại AAP 2017; Tầm quan trọng phân loại; Chẩn đoán nha chu; Tiên lượng nha chu; Kế hoạch điều trị nha chu; Tiêu chí chẩn đoán; Hướng dẫn lâm sàng; Viêm nha chu
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q022,Bệnh nhân có đái tháo đường kiểm soát kém thường thuộc grade nào của viêm nha chu?,Thường thuộc Grade C do bệnh tiến triển nhanh và nguy cơ cao.,viêm nha chu; đái tháo đường; phân độ nha chu; grade C; tiểu đường kém; bệnh nha chu; tiểu đường nha chu; nguy cơ nha chu
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q023,Yếu tố nguy cơ chính làm tăng cấp độ tiến triển viêm nha chu là gì?,"Hút thuốc lá, kiểm soát đường huyết kém, tiền sử bệnh nha chu tiến triển nhanh.",yếu tố nguy cơ viêm nha chu; hút thuốc; đái tháo đường; vệ sinh răng miệng; mảng bám; vôi răng
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q024,Việc xác định stage và grade ảnh hưởng thế nào tới kế hoạch điều trị?,"Xác định mức độ can thiệp, tiên lượng kết quả và tần suất tái khám.",Stage Grade nha chu; kế hoạch điều trị; phân loại nha chu; tiên lượng nha chu; phác đồ điều trị; quản lý nha chu; tái khám nha chu; ảnh hưởng Stage Grade
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q025,Vai trò của bác sĩ RHM khi áp dụng phân loại AAP 2017 là gì?,"Chẩn đoán sớm, phân loại đúng, điều trị và theo dõi tiến triển bệnh nha chu và quanh implant.",AAP 2017; phân loại nha chu; vai trò BS RHM; chẩn đoán nha chu; điều trị nha chu; quản lý nha chu; tiêu chuẩn AAP; hướng dẫn AAP
Biến chứng của bệnh lí ĐTĐ,,Q001,Biến chứng cấp tính trong bệnh đái tháo đường là gì?,"Là các tình trạng khởi phát nhanh, đe dọa tính mạng như nhiễm toan ceton, tăng áp lực thẩm thấu và hạ đường huyết.",đái tháo đường; biến chứng cấp; nhiễm toan ceton; hạ đường huyết; tăng áp lực thẩm thấu; cấp cứu ĐTĐ; tiểu đường cấp tính; hôn mê đái tháo đường
Biến chứng của bệnh lí ĐTĐ,,Q002,Nhiễm toan ceton là gì và có biểu hiện ra sao?,"Tình trạng thiếu insulin nghiêm trọng làm tích tụ ceton trong máu gây toan hóa; triệu chứng: tiểu nhiều, khát nước, thở nhanh sâu, hơi thở mùi ceton, đau bụng, buồn nôn, nôn.",Nhiễm toan ceton; toan ceton; biến chứng ĐTĐ; triệu chứng nhiễm toan; thiếu insulin; hơi thở ceton; cấp cứu đái tháo đường; tăng ceton máu
Biến chứng của bệnh lí ĐTĐ,,Q003,Tại sao bác sĩ RHM cần nhận biết nhiễm toan ceton?,"Vì bệnh nhân có thể đến khám nha trong tình trạng này; nếu không phát hiện và xử trí kịp thời, nguy cơ hôn mê, tử vong.",nhiễm toan ceton; biến chứng ĐTĐ; cấp cứu ĐTĐ; DKA nhận biết; triệu chứng DKA; toan ceton nha khoa; quản lý DKA
Biến chứng của bệnh lí ĐTĐ,,Q004,Tăng áp lực thẩm thấu là gì?,"Biến chứng do đường huyết tăng cao kéo dài nhưng không có nhiễm toan, thường gặp ở người lớn tuổi; gây mất nước nặng, rối loạn ý thức.",tăng áp lực thẩm thấu; hội chứng tăng ALTT; hôn mê tăng ALTT; biến chứng ĐTĐ; đường huyết tăng; tăng glucose máu; mất nước nặng; rối loạn ý thức
Biến chứng của bệnh lí ĐTĐ,,Q005,"Trong phòng khám RHM, tăng áp lực thẩm thấu có thể biểu hiện thế nào?","Bệnh nhân lú lẫn, mất tập trung, mất nước rõ; cần ngừng điều trị và chuyển cấp cứu.",Tăng áp lực thẩm thấu; biểu hiện thẩm thấu; biến chứng ĐTĐ; ĐTĐ phòng nha; lú lẫn ĐTĐ; mất nước ĐTĐ; cấp cứu ĐTĐ; hôn mê thẩm thấu
Biến chứng của bệnh lí ĐTĐ,,Q006,Hạ đường huyết là gì và nguyên nhân thường gặp?,"Xảy ra khi đường huyết xuống thấp, thường do dùng quá liều insulin hoặc thuốc hạ đường huyết, bỏ bữa, gắng sức.",hạ đường huyết; nguyên nhân hạ đường huyết; đường huyết thấp; triệu chứng hạ đường huyết; xử trí hạ đường huyết; biến chứng cấp tính
Biến chứng của bệnh lí ĐTĐ,,Q007,Dấu hiệu hạ đường huyết mà bác sĩ RHM cần lưu ý là gì?,"Đói, bồn chồn, vã mồ hôi, hoa mắt, tim đập nhanh; nặng có thể lú lẫn, co giật, hôn mê.",hạ đường huyết; dấu hiệu hạ đường; triệu chứng hạ đường; đường huyết thấp; biến cố đường huyết; khẩn cấp đường huyết; hôn mê đường huyết; co giật đường huyết
Biến chứng của bệnh lí ĐTĐ,,Q008,Xử trí ban đầu hạ đường huyết tại phòng khám nha như thế nào?,"Cho bệnh nhân uống dung dịch chứa đường nhanh (nước đường, nước trái cây), nếu không cải thiện → chuyển cấp cứu.",hạ đường huyết; xử trí ban đầu; tụt đường; sơ cứu đường huyết; cấp cứu nha khoa; phòng khám nha; biến chứng đái tháo đường; chuyển viện
Biến chứng của bệnh lí ĐTĐ,,Q009,Biến chứng mạn tính của ĐTĐ gồm những nhóm nào?,"Biến chứng vi mạch, mạch máu lớn và biến chứng khác (như bàn chân ĐTĐ).",biến chứng mạn tính ĐTĐ; biến chứng lâu dài; phân loại biến chứng; biến chứng vi mạch; biến chứng mạch lớn; biến chứng thận; biến chứng mắt
Biến chứng của bệnh lí ĐTĐ,,Q010,Bệnh lý võng mạc ĐTĐ có ảnh hưởng gì tới điều trị nha khoa?,"Giảm thị lực làm khó khăn trong vệ sinh miệng, tăng nguy cơ bệnh nha chu và sâu răng.",Võng mạc ĐTĐ; Thị lực kém; Chăm sóc răng miệng; Bệnh nha chu; Sâu răng; Điều trị nha khoa; Biến chứng mắt; Đái tháo đường
Biến chứng của bệnh lí ĐTĐ,,Q011,Bệnh thận do ĐTĐ ảnh hưởng gì đến điều trị nha khoa?,"Cần điều chỉnh liều thuốc (kháng sinh, giảm đau) theo chức năng thận.",Thận ĐTĐ; suy thận ĐTĐ; điều trị nha khoa; điều chỉnh thuốc; chức năng thận; kháng sinh; giảm đau; thuốc nha khoa; thận trọng thuốc; biến chứng thận
Biến chứng của bệnh lí ĐTĐ,,Q012,Bệnh thần kinh ĐTĐ tác động thế nào đến sức khỏe răng miệng?,"Giảm cảm giác đau ở niêm mạc và răng, làm bệnh nhân chậm phát hiện tổn thương, loét.",bệnh thần kinh ĐTĐ; biến chứng thần kinh; ảnh hưởng răng miệng; khô miệng ĐTĐ; cảm giác miệng; rối loạn vị giác; tê bì miệng
Biến chứng của bệnh lí ĐTĐ,,Q013,Bệnh mạch vành ảnh hưởng gì tới an toàn khi điều trị nha khoa?,"Tăng nguy cơ biến cố tim mạch khi làm thủ thuật; cần đánh giá trước điều trị, tránh gây stress.",Bệnh mạch vành; nguy cơ tim mạch; an toàn nha khoa; đánh giá tiền phẫu; stress nha khoa; biến cố tim mạch; điều trị nha khoa
Biến chứng của bệnh lí ĐTĐ,,Q014,Bệnh mạch máu não có liên quan gì đến điều trị nha khoa?,Tiền sử đột quỵ đòi hỏi thận trọng khi sử dụng thuốc tê có epinephrine và điều chỉnh tư thế ghế nha.,Đột quỵ; bệnh mạch máu não; thuốc tê epinephrine; gây tê nha khoa; tư thế ghế nha; quản lý đột quỵ; thận trọng nha khoa
Biến chứng của bệnh lí ĐTĐ,,Q015,Bệnh mạch máu ngoại biên ảnh hưởng gì đến khoang miệng?,Giảm tuần hoàn máu toàn thân làm chậm lành thương sau phẫu thuật nha chu.,bệnh mạch máu ngoại biên; khoang miệng; biến chứng miệng; ảnh hưởng khoang miệng; đái tháo đường; tuần hoàn miệng; thiếu máu cục bộ; loét miệng
Biến chứng của bệnh lí ĐTĐ,,Q016,Bàn chân ĐTĐ có ý nghĩa gì với bác sĩ RHM?,Cho thấy bệnh nhân có biến chứng mạch máu và thần kinh nặng → nguy cơ cao biến chứng lành thương tại miệng.,bàn chân ĐTĐ; tiểu đường; biến chứng tiểu đường; lành thương miệng; nguy cơ lành thương; biến chứng mạch máu; biến chứng thần kinh; biến chứng nha khoa
Biến chứng của bệnh lí ĐTĐ,,Q017,Vì sao viêm nha chu được coi là biến chứng gián tiếp của ĐTĐ?,"Tăng đường huyết làm tăng viêm, giảm sức đề kháng, tạo điều kiện cho bệnh nha chu phát triển và tiến triển nhanh.",đái tháo đường; viêm nha chu; biến chứng ĐTĐ; ĐTĐ nha chu; cơ chế liên quan; tăng đường huyết; suy giảm miễn dịch
Biến chứng của bệnh lí ĐTĐ,,Q018,Biến chứng mạch máu nhỏ ở bệnh nhân ĐTĐ ảnh hưởng thế nào tới nha chu?,"Giảm tưới máu mô nha chu, giảm khả năng hồi phục sau điều trị.",biến chứng mạch máu nhỏ; nha chu; đái tháo đường; viêm nha chu; tiêu xương; mất bám dính; mạch máu nha chu; vi mạch
Biến chứng của bệnh lí ĐTĐ,,Q019,Vì sao bệnh nhân ĐTĐ dễ nhiễm trùng miệng?,"Đường huyết cao làm suy yếu miễn dịch và tăng môi trường thuận lợi cho vi khuẩn, nấm phát triển.",Đái tháo đường; nhiễm trùng miệng; đường huyết cao; suy giảm miễn dịch; vi khuẩn nấm; môi trường thuận lợi; biến chứng ĐTĐ; sức khỏe răng miệng
Biến chứng của bệnh lí ĐTĐ,,Q020,Kiểm soát đường huyết tốt giúp gì cho phòng ngừa biến chứng nha khoa?,"Giảm nguy cơ viêm nha chu, nhiễm trùng và cải thiện lành thương sau điều trị.",đái tháo đường; kiểm soát đường huyết; biến chứng nha khoa; viêm nha chu; nhiễm trùng miệng; lành thương; tiểu đường răng miệng
Biến chứng của bệnh lí ĐTĐ,,Q021,"Ngoài đường huyết, yếu tố nào cần kiểm soát để phòng biến chứng ĐTĐ?","Huyết áp, lipid máu, cân nặng và lối sống lành mạnh.",kiểm soát ĐTĐ; phòng biến chứng; yếu tố kiểm soát; huyết áp; cholesterol; mỡ máu; lối sống; tập thể dục; cân nặng; HbA1c
Biến chứng của bệnh lí ĐTĐ,,Q022,Bệnh nhân ĐTĐ có biến chứng mạn tính nên được hẹn điều trị nha khoa như thế nào?,"Hẹn ngắn, ít xâm lấn, theo dõi sát; phối hợp chuyên khoa nội tiết.",Bệnh nhân ĐTĐ; biến chứng ĐTĐ; điều trị nha khoa; quản lý ĐTĐ; hẹn nha khoa ĐTĐ; hẹn ngắn; phối hợp nội tiết; nha khoa đái tháo đường
Biến chứng của bệnh lí ĐTĐ,,Q023,Những thủ thuật nha khoa nào cần cân nhắc ở bệnh nhân có biến chứng ĐTĐ?,"Nhổ răng, phẫu thuật nha chu, implant – vì nguy cơ chậm lành và nhiễm trùng cao.",Đái tháo đường; biến chứng ĐTĐ; thủ thuật nha khoa; nhổ răng ĐTĐ; phẫu thuật nha chu; cấy ghép implant; chậm lành thương; nguy cơ nhiễm trùng
Biến chứng của bệnh lí ĐTĐ,,Q024,Bác sĩ RHM cần hỏi gì trong bệnh sử để phát hiện nguy cơ biến chứng?,"Tiền sử hạ/tăng đường huyết, bệnh tim mạch, bệnh thận, bệnh võng mạc, bàn chân ĐTĐ.",bệnh sử RHM; nguy cơ biến chứng; đái tháo đường; thuốc đang dùng; HbA1c; đường huyết; biến chứng ĐTĐ; kiểm soát bệnh
Biến chứng của bệnh lí ĐTĐ,,Q025,Vai trò của bác sĩ RHM trong quản lý biến chứng ĐTĐ là gì?,"Sàng lọc dấu hiệu biến chứng, điều chỉnh kế hoạch điều trị nha khoa, giáo dục bệnh nhân và phối hợp liên chuyên khoa.",đái tháo đường; biến chứng ĐTĐ; vai trò RHM; nha khoa tiểu đường; quản lý ĐTĐ RHM; sàng lọc biến chứng miệng; điều trị răng ĐTĐ; phối hợp liên chuyên khoa
Có thể kiểm soát viêm nha chu ở những người mắc bệnh ĐTĐ không?,,Q001,Có thể kiểm soát viêm nha chu ở bệnh nhân đái tháo đường không?,"Có. Nghiên cứu cho thấy điều trị nha chu kết hợp chăm sóc răng miệng tại nhà đúng cách giúp cải thiện rõ rệt tình trạng nướu, giảm chảy máu và giảm độ sâu túi nha chu, ngay cả khi kiểm soát đường huyết chưa tối ưu.",kiểm soát viêm nha chu; bệnh nhân ĐTĐ; quản lý nha chu; điều trị hiệu quả; viêm nha chu; đái tháo đường; khả năng kiểm soát
Có thể kiểm soát viêm nha chu ở những người mắc bệnh ĐTĐ không?,,Q002,Điều trị nha chu ở bệnh nhân đái tháo đường có an toàn không?,"Có. Liệu pháp không phẫu thuật như lấy cao răng, làm láng gốc răng, hướng dẫn vệ sinh răng miệng được đánh giá là an toàn và mang lại cải thiện lâm sàng tốt cho bệnh nhân đái tháo đường.",đái tháo đường; tiểu đường; nha chu; viêm nha chu; điều trị an toàn; an toàn nha chu; lấy cao răng; láng gốc răng; liệu pháp không phẫu thuật
Có thể kiểm soát viêm nha chu ở những người mắc bệnh ĐTĐ không?,,Q003,Người đái tháo đường kiểm soát đường huyết kém có thể điều trị viêm nha chu hiệu quả không?,"Có. Ngay cả khi đường huyết chưa ổn định, việc điều trị nha chu tiêu chuẩn vẫn cho thấy cải thiện tình trạng viêm và sức khỏe nướu.",đái tháo đường; đường huyết kém; viêm nha chu; điều trị nha chu; hiệu quả điều trị; kiểm soát nha chu; nha chu tiểu đường
Có thể kiểm soát viêm nha chu ở những người mắc bệnh ĐTĐ không?,,Q004,Điều trị nha chu giúp cải thiện chỉ số lâm sàng nào ở người đái tháo đường?,"Các chỉ số như độ sâu túi nha chu, mức chảy máu khi thăm khám và tình trạng viêm mô quanh răng đều giảm rõ rệt sau điều trị.",Điều trị nha chu ĐTĐ; Chỉ số lâm sàng nha chu; Độ sâu túi; Chảy máu thăm khám; Viêm quanh răng; Cải thiện nha chu; Hiệu quả điều trị; Tiểu đường nha chu
Có thể kiểm soát viêm nha chu ở những người mắc bệnh ĐTĐ không?,,Q005,Liệu pháp không phẫu thuật nha chu là gì?,"Bao gồm lấy cao răng, làm láng gốc răng, làm sạch mảng bám và hướng dẫn bệnh nhân vệ sinh răng miệng tại nhà.",Liệu pháp không phẫu thuật; điều trị không phẫu thuật; lấy cao răng; làm láng gốc răng; cạo vôi răng; vệ sinh răng miệng; điều trị nha chu; kiểm soát mảng bám
Có thể kiểm soát viêm nha chu ở những người mắc bệnh ĐTĐ không?,,Q006,Có cần phẫu thuật nha chu cho bệnh nhân đái tháo đường không?,"Trong nhiều trường hợp, liệu pháp không phẫu thuật là đủ. Tuy nhiên, nếu bệnh tiến triển nặng hoặc không đáp ứng, có thể cần can thiệp phẫu thuật.",phẫu thuật nha chu; nha chu tiểu đường; bệnh nhân đái tháo đường; chỉ định phẫu thuật; điều trị nha chu; phẫu thuật nha chu ĐTĐ
Có thể kiểm soát viêm nha chu ở những người mắc bệnh ĐTĐ không?,,Q007,Điều trị nha chu có giúp giảm viêm toàn thân ở người đái tháo đường không?,"Một số nghiên cứu ghi nhận giảm mức CRP và TNF-α sau điều trị nha chu, cho thấy tác động tích cực đến tình trạng viêm toàn thân.",Điều trị nha chu; đái tháo đường; viêm toàn thân; giảm viêm; tiểu đường; nha chu ĐTĐ; kiểm soát viêm; CRP
Có thể kiểm soát viêm nha chu ở những người mắc bệnh ĐTĐ không?,,Q008,Bệnh nhân đái tháo đường cần duy trì vệ sinh răng miệng như thế nào sau điều trị nha chu?,"Cần chải răng ít nhất 2 lần/ngày bằng kem chứa fluor, dùng chỉ nha khoa hoặc bàn chải kẽ, và tái khám nha khoa định kỳ 3–6 tháng/lần.",Đái tháo đường; Nha chu; Vệ sinh răng miệng; Chăm sóc sau điều trị; Hướng dẫn vệ sinh; Bệnh tiểu đường; Duy trì vệ sinh
Có thể kiểm soát viêm nha chu ở những người mắc bệnh ĐTĐ không?,,Q009,Có cần điều chỉnh thuốc trước khi điều trị nha chu ở người đái tháo đường không?,"Có thể cần. Bác sĩ sẽ phối hợp với bác sĩ điều trị đái tháo đường để đảm bảo đường huyết ổn định, giảm nguy cơ biến chứng khi can thiệp.",điều chỉnh thuốc; thuốc đái tháo đường; điều trị nha chu; nha chu tiểu đường; tương tác thuốc; chuẩn bị điều trị
Có thể kiểm soát viêm nha chu ở những người mắc bệnh ĐTĐ không?,,Q010,Điều trị nha chu có ảnh hưởng đến đường huyết ở người đái tháo đường không?,"Một số nghiên cứu cho thấy điều trị nha chu thành công giúp giảm nhẹ chỉ số HbA1c, hỗ trợ kiểm soát đường huyết.",điều trị nha chu; đường huyết; HbA1c; đái tháo đường; kiểm soát đường huyết; ảnh hưởng đường huyết; giảm HbA1c; nha chu tiểu đường
Có thể kiểm soát viêm nha chu ở những người mắc bệnh ĐTĐ không?,,Q011,Tần suất tái khám nha khoa cho người đái tháo đường sau điều trị nha chu là bao lâu?,Nên tái khám định kỳ mỗi 3–4 tháng để kiểm soát tái phát và duy trì kết quả điều trị.,Tái khám nha chu; lịch tái khám ĐTĐ; duy trì nha chu; kiểm soát viêm nha chu; viêm quanh răng; bệnh tiểu đường; tần suất tái khám; sau điều trị nha chu
Có thể kiểm soát viêm nha chu ở những người mắc bệnh ĐTĐ không?,,Q012,Việc điều trị nha chu ở bệnh nhân đái tháo đường cần lưu ý gì?,"Cần phối hợp chặt chẽ giữa nha sĩ và bác sĩ nội tiết, đảm bảo kiểm soát đường huyết, huyết áp và tình trạng sức khỏe toàn thân trước và sau điều trị.",lưu ý điều trị; nha chu đái tháo đường; quản lý nha chu; điều trị nha chu ĐTĐ; cân nhắc điều trị; phác đồ nha chu
Có thể kiểm soát viêm nha chu ở những người mắc bệnh ĐTĐ không?,,Q013,Người đái tháo đường kiểm soát nha chu tốt sẽ nhận được lợi ích gì?,"Giảm nguy cơ mất răng, cải thiện khả năng ăn nhai, nâng cao chất lượng cuộc sống và có thể hỗ trợ kiểm soát đường huyết tốt hơn.",Đái tháo đường; nha chu; kiểm soát nha chu; lợi ích điều trị; đường huyết; mất răng; ăn nhai; sức khỏe tổng thể
Có thể kiểm soát viêm nha chu ở những người mắc bệnh ĐTĐ không?,,Q014,Có nên dùng thuốc kháng sinh trong điều trị nha chu cho người đái tháo đường?,"Chỉ nên dùng khi có chỉ định rõ ràng, ví dụ nhiễm trùng cấp tính, và cần tuân thủ hướng dẫn của bác sĩ.",kháng sinh nha chu; đái tháo đường nha chu; chỉ định kháng sinh; viêm nha chu ĐTĐ; điều trị nha chu; nhiễm trùng nha chu; thuốc kháng sinh ĐTĐ
Có thể kiểm soát viêm nha chu ở những người mắc bệnh ĐTĐ không?,,Q015,Bệnh nhân đái tháo đường có nguy cơ tái phát viêm nha chu sau điều trị không?,"Có. Nếu không duy trì vệ sinh răng miệng tốt và kiểm soát đường huyết, bệnh rất dễ tái phát.",tái phát nha chu; nha chu tiểu đường; nguy cơ tái phát; duy trì nha chu; phòng ngừa tái phát; chăm sóc sau điều trị
Có thể kiểm soát viêm nha chu ở những người mắc bệnh ĐTĐ không?,,Q016,Điều trị nha chu ở người đái tháo đường cần bao lâu để thấy hiệu quả?,Thường sau 4–6 tuần sẽ thấy cải thiện rõ rệt tình trạng nướu và giảm viêm.,nha chu đái tháo đường; điều trị nha chu; hiệu quả điều trị; thời gian đáp ứng; cải thiện nướu; giảm viêm; nha chu tiểu đường
